post_id,text,timestamp,lat,lon,detected_event_type,event_type,event_id,is_noise,social_risk,weather_severity,transport_severity,official_signal_id,official_match,official_link_time_ok,official_link_distance_ok,official_link_type_ok,official_link_distance_km,risk_level,ground_truth_risk
eval_0001,豊田駅前で火事が起こって煙が出てる！消防車が来てる。,2026-05-01 14:04,35.083271,137.152173,fire,fire,fire_001_00,False,0.6,0.2,0.5,,False,False,False,False,,high,high
eval_0002,「豊田市駅前のビルに火事が！消防車が何台も出てきて煙があふれててすごい騒ぎです。火事はどんなの事で？」,2026-05-01 14:11,35.087392,137.158153,fire,fire,fire_001_00,False,0.6,0.2,0.5,,False,False,False,False,,high,high
eval_0003,豊田市駅前に大きな火事が起こった。煙が高く上がっています。消防車が急いでやってきたようです。,2026-05-01 14:18,35.08473,137.15758,fire,fire,fire_001_00,False,0.6,0.2,0.5,,False,False,False,False,,high,high
eval_0004,豊田市駅前で火事が起こっていて、煙が上がってます。消防車が来ています,2026-05-01 14:25,35.088126,137.156208,fire,fire,fire_001_00,False,0.6,0.2,0.5,,False,False,False,False,,high,high
eval_0005,今日も雨です。,2026-05-01 14:29,35.084054,137.159508,flood,noise,noise,True,0.8,0.0,0.0,,False,False,False,False,,low,low
eval_0006,「豊田駅前で火事が起こってました。消防車が来ました。煙が大きなものになってしまいました。やばいです…」,2026-05-01 14:36,35.083462,137.161909,fire,fire,fire_001_00,False,0.6,0.2,0.5,,False,False,False,False,,high,high
eval_0007,豊田駅前で火事が出た。消防車が走り出す中、煙があふれてる,2026-05-01 14:15,35.085564,137.153482,fire,fire,fire_001_00,False,0.6,0.2,0.5,,False,False,False,False,,high,high
eval_0008,今日も朝から雨でした。,2026-05-01 14:20,35.08673,137.154392,flood,noise,noise,True,0.8,0.0,0.0,,False,False,False,False,,low,low
eval_0009,今日は晴れがいいですね。,2026-05-01 14:25,35.088919,137.155006,,noise,noise,True,0.8,0.0,0.0,,False,False,False,False,,low,low
eval_0010,「豊田駅前で火事が！消防車が集まって煙が高く上がってる」,2026-05-01 14:30,35.084467,137.158311,fire,fire,fire_001_00,False,0.6,0.2,0.5,,False,False,False,False,,high,high
